x/d,y,p_min,p_max,p_avg,u,,x/d,y,p_min,p_max,p_avg,u,,x/d,y,p_min,p_max,p_avg,u,,x/d,y,p_min,p_max,p_avg,u
14,26.5,0,0,0,0,,23,29.5,0,0,0,0,,26,14.5,0,0,0,0,,29,13.8,0,0,0,0
14,26.2,7.4,10.5,8.95,3.915347181,,23,29.2,3,8,5.5,3.06930541,,26,14.8,1.2,3.5,2.35,2.006285301,,29,14.1,2.5,8.46,5.48,3.063719772
14,25.9,22.2,17.6,19.9,5.838285091,,23,28.9,8,13,10.5,4.240854864,,26,15.1,6.13,10.5,8.315,3.773895645,,29,14.4,2.57,9.3,5.935,3.188372993
14,25.6,39.6,30.1,34.85,7.726096911,,23,28.6,14,19,16.5,5.316192914,,26,15.4,20.7,11.9,16.3,5.283875333,,29,14.7,12.9,12.9,12.9,4.700603453
14,25.3,48.9,58.4,53.65,9.586136821,,23,28.3,22,27,24.5,6.478012808,,26,15.7,25.4,18.8,22.1,6.15254639,,29,15,10.2,17.4,13.8,4.861813591
14,25,95.3,106,100.65,13.13002793,,23,28,38,32,35,7.74270624,,26,16,27.2,23.5,25.35,6.589428379,,29,15.3,24.4,15.6,20,5.852935767
14,24.7,145.3,150,147.65,15.90286916,,23,27.7,50,45,47.5,9.0199798,,26,16.3,42.6,30.3,36.45,7.901463285,,29,15.6,25.1,25.1,25.1,6.556855622
14,24.4,243,246,244.5,20.46436117,,23,27.4,63,55,59,10.05274731,,26,16.6,51.1,47.7,49.4,9.198610603,,29,15.9,27.3,27.3,27.3,6.838172997
14,24.1,252,270,261,21.14360388,,23,27.1,82,75,78.5,11.59560969,,26,16.9,58.5,61.2,59.85,10.12490221,,29,16.2,36.2,36.2,36.2,7.874319738
14,23.8,344,302,323,23.5212296,,23,26.8,87,96,91.5,12.51899042,,26,17.2,69,72,70.5,10.98887716,,29,16.5,51,51,51,9.346388906
14,23.5,423,392,407.5,26.41937666,,23,26.5,109,121,115,14.03484693,,26,17.5,76,88,82,11.85129166,,29,16.8,63.2,63.2,63.2,10.4044062
14,23.2,506,495,500.5,29.27930752,,23,26.2,125,135,130,14.92211684,,26,17.8,91,105,98,12.95602562,,29,17.1,75.7,75.7,75.7,11.38693129
14,22.9,587,602,594.5,31.91057939,,23,25.9,158,166,162,16.65774722,,26,18.1,135,123,129,14.86461329,,29,17.4,88,88,88,12.27722164
14,22.6,650,630,640,33.10920457,,23,25.6,183,196,189.5,18.01620717,,26,18.4,145,155,150,16.02892474,,29,17.7,97,97.2,97.1,12.89639644
14,22.3,722,709,715.5,35.00770005,,23,25.3,223,217,220,19.41199186,,26,18.7,168,160,164,16.7602574,,29,18,107.9,108,107.95,13.59784491
14,22,728,741,734.5,35.46946682,,23,25,243,236,239.5,20.25403327,,26,19,182,178,180,17.5588073,,29,18.3,135.6,135.6,135.6,15.24012766
14,21.7,714,707,710.5,34.88516659,,23,24.7,292,275,283.5,22.03612827,,26,19.3,212,198,205,18.73853743,,29,18.6,150,150,150,16.02892474
14,21.4,666,682,674,33.97728777,,23,24.4,309,331,320,23.41174307,,26,19.6,230,209,219.5,19.38992023,,29,18.9,163.8,163.8,163.8,16.75003461
14,21.1,597,602,599.5,32.04448925,,23,24.1,326,343,334.5,23.93628908,,26,19.9,249,238,243.5,20.42246888,,29,19.2,185,185.7,185.35,17.81784002
