x/d,y,y/half_width,u,u/Uo,,x/d,y,y/half_width,u,u/Uo,,x/d,y,y/half_width,u,u/Uo,,x/d,y,y/half_width,u,u/Uo
14,26.5,1.139881726,0,0,,23,29.5,1.050795452,0,0,,26,14.5,-0.819939043,0,0,,29,13.8,-0.901932948,0,0
14,26.2,1.071488822,3.915347181,0.111007547,,23,29.2,1.011390623,3.06930541,0.109540199,,26,14.8,-0.784798799,2.006285301,0.077964859,,29,14.1,-0.866792703,3.063719772,0.125056933
14,25.9,1.003095919,5.838285091,0.165526497,,23,28.9,0.971985793,4.240854864,0.151351535,,26,15.1,-0.749658554,3.773895645,0.146654736,,29,14.4,-0.831652458,3.188372993,0.13014511
14,25.6,0.934703015,7.726096911,0.219049557,,23,28.6,0.932580964,5.316192914,0.189729189,,26,15.4,-0.714518309,5.283875333,0.205333007,,29,14.7,-0.796512214,4.700603453,0.19187233
14,25.3,0.866310112,9.586136821,0.271785229,,23,28.3,0.893176134,6.478012808,0.231193288,,26,15.7,-0.679378065,6.15254639,0.239089829,,29,15,-0.761371969,4.861813591,0.198452711
14,25,0.797917208,13.13002793,0.372261289,,23,28,0.853771305,7.74270624,0.276328832,,26,16,-0.64423782,6.589428379,0.256067196,,29,15.3,-0.726231724,5.852935767,0.238908989
14,24.7,0.729524305,15.90286916,0.450876617,,23,27.7,0.814366475,9.0199798,0.321913347,,26,16.3,-0.609097575,7.901463285,0.307053273,,29,15.6,-0.691091479,6.556855622,0.267642054
14,24.4,0.661131401,20.46436117,0.5802036,,23,27.4,0.774961646,10.05274731,0.358771705,,26,16.6,-0.57395733,9.198610603,0.357460813,,29,15.9,-0.655951235,6.838172997,0.279125052
14,24.1,0.592738497,21.14360388,0.599461424,,23,27.1,0.735556817,11.59560969,0.413834799,,26,16.9,-0.538817086,10.12490221,0.393456788,,29,16.2,-0.62081099,7.874319738,0.321419172
14,23.8,0.524345594,23.5212296,0.66687164,,23,26.8,0.696151987,12.51899042,0.446789261,,26,17.2,-0.503676841,10.98887716,0.427031118,,29,16.5,-0.585670745,9.346388906,0.381507062
14,23.5,0.45595269,26.41937666,0.749039626,,23,26.5,0.656747158,14.03484693,0.500888545,,26,17.5,-0.468536596,11.85129166,0.460544808,,29,16.8,-0.550530501,10.4044062,0.424693909
